id	filename	md5	size	state
0010ebf5-8e39-49ee-a5dd-e4f2ff6cacaa	C495.TCGA-BA-6873-10A-01D-1870-08.3_gdc_realn.bam	a9c5b061235dfa6c324d48cbb3314dbc	12601516425	validated
00e3fdd5-5b59-48bd-ac62-f9181fb432e2	C529.TCGA-G9-6367-01A-11D-1786-08.3_gdc_realn.bam	a92d0c9adbc475bec41f1df703bac433	13095611120	validated
050e1080-7815-48e1-9f4a-64e937901031	620ece8c058fcf4ca7c29782f17638b8_gdc_realn.bam	1e14eb37192ad6052e27702db13baf6a	11809029975	validated
07e38bfb-4e41-4d06-be95-b88319899f96	C1760.TCGA-V4-A9E7-10A-01D-A39Z-08.2_gdc_realn.bam	aac1d82f4f02b039b22b6b91a6df535b	7202500036	validated
0d84c8bd-0186-4536-aadf-6d3a3599ebc1	C509.TCGA-44-6775-01A-21D-A27T-08.2_gdc_realn.bam	aa276b6612e903bdc66d89572fc57d75	14901503064	validated
1003fa36-ee00-4a8b-8bac-7aa0f20e73d2	C509.TCGA-44-6775-10A-01D-A271-08.5_gdc_realn.bam	1e29055f7b0baac03cd2186d987ccc27	7242544327	validated
14e301af-1bff-46f8-9b41-680502118e5a	C495.TCGA-CV-6956-10A-01D-2013-08.1_gdc_realn.bam	32d5373d4aae99d4df7f545fd56d2cbf	9442709945	validated
1810dade-d9e2-4a15-9e91-d33abe1f5103	0867437c4f916ab00286db21f5b7c4d4_gdc_realn.bam	b47a1a1f7e88779f858c3c88289599ac	8658692188	validated
1b2f1df3-5155-4fe5-ade8-a348eb618087	C529.TCGA-EJ-5518-01A-01D-1576-08.8_gdc_realn.bam	6647d3fad63340c4396a901d9a89dc83	17891431168	validated
1b3e049e-bddc-4a68-8a5e-c6fb8766285c	0fb4d349ab5ae33b7eb9d795a9ac1637_gdc_realn.bam	f6327b54330941b665b4928c1960a026	14819112809	validated
20569f73-a77f-44bc-b5a3-576ac8647a80	TCGA-DD-A3A7-01A-11D-A22F-10_Illumina_gdc_realn.bam	6842f676a36fc2d01c194bd90f082a3d	13377656380	validated
212b8c84-a94e-477a-a66f-fd5a929bc2d4	75bf649e7d008036c4b75d2535eff08a_gdc_realn.bam	ceda29cfec2e10e974fe96c7e3f7f9b3	24940675145	validated
22aa4ead-ca08-4db7-b43c-b590dd16e09f	759070faf3766736c918f9e64fd2f509_gdc_realn.bam	3b19b1c010188fd29896266cec7d9617	23041517076	validated
24645ca8-f927-47db-9a8e-9a38adf5545e	C499.TCGA-EM-A1YA-01A-11D-A14W-08.3_gdc_realn.bam	64abba38c05f7b45f578ea262293ec56	8585721476	validated
2486cff1-2b5e-4fb5-aece-40ad7438a0d2	d0f2280ddc430dc18de210d47c9a03c0_gdc_realn.bam	93594286aea824ca0d381c40f5e36b32	10857714854	validated
28beec02-7102-4b61-af1f-766ca9319fad	d9eeea2c30c3c05b70c9f5a105bde2aa_gdc_realn.bam	72e220683fdd81e5f33703c78f22e65c	12020873086	validated
29b6959c-ce7c-472b-91c3-85bcbef7f1d5	C529.TCGA-EJ-5494-10A-01D-1577-08.8_gdc_realn.bam	a355a52a25390fb58e48ac9ce23d8bb8	20923279315	validated
2bd564f2-335a-4085-b599-ed3bddf45f0d	C499.TCGA-DO-A1K0-01A-11D-A13W-08.3_gdc_realn.bam	01c4f69156e9847d3cc2721c5c142891	15884902981	validated
